ring_id,s_center_mm,z_center_mm,radius_mm,nozzle_x_mm,nozzle_z_mm,dr_dz,theta_tangent_deg,theta_command_deg,standOff_check_mm,rpm_ideal,rpm_radome,turns,dwell_time_s,thickness_um,v_advance_equiv_mm_s
1,6.25,5.29369502858918,3.32253749158113,41.502283694504,-47.3115041429794,0.63097531058339,32.2509138370507,54.0286450242827,65,134.124548417131,25,1,2.4,134.124548417131,5.20833333333333
2,18.75,15.7880860094165,10.1128589657981,49.6406414966882,-35.8118598063559,0.66775535246086,33.7332299769588,52.5463288843746,65,44.066059080271,25,1,2.4,44.066059080271,5.20833333333333
3,31.25,26.086062998222,17.1975299448431,58.0855644021682,-24.4428261466681,0.706975699929392,35.2593824381527,51.0201764231807,65,25.9126654866466,25,1,2.4,25.9126654866466,5.20833333333333
4,43.75,36.2112887559527,24.5271519972814,66.5490457727716,-13.3786340461794,0.741504255224032,36.5570921289628,49.7224667323706,65,18.1690006531008,18.1690006531008,1,3.30232802263455,25,3.78520846939599
5,56.25,46.156020185051,32.0997024443661,75.4053540362014,-2.31686440217542,0.782893052020078,38.0571451117224,48.222413749611,65,13.8828028524458,13.8828028524458,1,4.32189383064166,25,2.89225059425954
6,68.75,55.8861799250284,39.9459215099416,84.6423762896666,8.69267475616014,0.830893332968495,39.7229660885757,46.5565927727577,65,11.1559284105237,11.1559284105237,1,5.37830629527887,25,2.32415175219244
7,81.25,65.3767679856653,48.0801966819942,94.2201955046537,19.5935777446502,0.884786150003965,41.5019567498123,44.7776021115211,65,9.26855278077917,9.26855278077917,1,6.4735025433988,25,1.93094849599566
8,93.75,74.5975621358384,56.5189207898587,104.194863476988,30.4160672664527,0.94757763215031,43.4581588318237,42.8214000295097,65,7.88468418061635,7.88468418061635,1,7.60968970038186,25,1.64264253762841
9,106.25,83.5097636014471,65.2827402352063,114.587529641837,41.1536809028803,1.02169399821344,45.6147947389638,40.6647641223696,65,6.82621224310957,6.82621224310957,1,8.78964759124864,25,1.42212755064783
10,118.75,92.0682059366692,74.3921232096036,125.416944564852,51.8007549909608,1.11061184951792,47.9999829325181,38.2795759288153,65,5.99033636130684,5.99033636130684,1,10.0161320468673,25,1.24798674193892
11,131.25,100.218342545476,83.8682939420764,136.701900183662,62.3552991983138,1.21969236857636,50.6523975125014,35.627161348832,65,5.31349595551668,5.31349595551668,1,11.2920006907516,25,1.10697832406597
12,143.75,107.894896419903,93.7316731493695,148.451183957551,72.8124914722184,1.35707824013001,53.6143453660518,32.6652134952815,65,4.75435704585312,4.75435704585312,1,12.6200029617745,25,0.990491051219401
13,156.25,115.020399035175,103.999792165327,160.657039420022,83.1620197053905,1.53578355354741,56.9305038730117,29.3490549883217,65,4.28494933863798,4.28494933863798,1,14.0024992732053,25,0.892697778882912
14,168.75,121.503620878166,114.684551861087,173.286282070726,93.381792764818,1.7779136585184,60.6441176151212,25.6354412462122,65,3.88573555396621,3.88573555396621,1,15.4410919545869,25,0.809528240409627
15,181.25,127.239536905842,125.787808663746,186.270272674871,103.430472515509,2.1243731070768,64.7923626782456,21.4871961830878,65,3.54274269813037,3.54274269813037,1,16.9360309546793,25,0.738071395443826
16,193.75,132.110760044928,137.296000519086,199.494543158675,113.233755687475,2.65999574275445,69.3967287217008,16.8828301396326,65,3.24578894485245,3.24578894485245,1,18.4854902827724,25,0.676206030177595
17,206.25,135.995018114879,149.172946781595,212.798977720733,122.701102704745,3.60052736870612,74.4780531789153,11.8015056824181,65,2.98736366259334,2.98736366259334,1,20.0845985881457,25,0.622367429706946
18,218.75,138.771310594496,161.356179960103,225.941985699692,131.445077116917,5.56218099769075,79.8079258989805,6.47163296235286,65,2.7618021247621,2.7618021247621,1,21.7249452674559,25,0.575375442658771
19,231.25,140.319684408123,173.753139508041,238.753139508041,140.319684408123,15.3786142805176,86.2795588613334,0,65,2.56475274011774,2.56475274011774,1,23.3940679978553,25,0.534323487524529
